"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"United States","43.34%","187193","28.85%","N/A","N/A","N/A","N/A","4480","32.49%","567583","65.12%","6788","85.18%"
"Australia","7.58%","112274","17.30%","N/A","N/A","N/A","N/A","358","2.60%","13513","1.55%","N/A","N/A"
"Canada","7.58%","97342","15.00%","N/A","N/A","N/A","N/A","537","3.89%","33785","3.88%","20","0.25%"
"United Kingdom","5.09%","28230","4.35%","N/A","N/A","N/A","N/A","1075","7.80%","40541","4.65%","62","0.78%"
"Germany","3.90%","34094","5.25%","N/A","N/A","N/A","N/A","716","5.19%","13513","1.55%","20","0.25%"
"Brazil","3.58%","18661","2.88%","N/A","N/A","N/A","N/A","716","5.19%","40541","4.65%","N/A","N/A"
"Sweden","3.14%","47051","7.25%","N/A","N/A","N/A","N/A","N/A","N/A","20270","2.33%","N/A","N/A"
"Mexico","2.38%","10237","1.58%","N/A","N/A","N/A","N/A","537","3.89%","27027","3.10%","N/A","N/A"
"Nigeria","1.63%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1017","12.76%"
"New Zealand","1.41%","8840","1.36%","N/A","N/A","N/A","N/A","358","2.60%","N/A","N/A","N/A","N/A"
"Netherlands","1.30%","21616","3.33%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Taiwan","1.30%","N/A","N/A","N/A","N/A","N/A","N/A","537","3.89%","N/A","N/A","N/A","N/A"
"Norway","1.19%","21337","3.29%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Spain","0.98%","9728","1.50%","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Czech Republic","0.98%","8752","1.35%","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Italy","0.98%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","27027","3.10%","N/A","N/A"
"Hungary","0.87%","7341","1.13%","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"India","0.87%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","20270","2.33%","N/A","N/A"
"Romania","0.87%","N/A","N/A","N/A","N/A","N/A","N/A","358","2.60%","N/A","N/A","N/A","N/A"
"Poland","0.65%","11095","1.71%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Indonesia","0.65%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","13513","1.55%","N/A","N/A"
"Pakistan","0.65%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","13513","1.55%","N/A","N/A"
"Chile","0.54%","9650","1.49%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Africa","0.54%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","62","0.78%"
"Ireland","0.43%","7877","1.21%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Finland","0.43%","7525","1.16%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bangladesh","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Portugal","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Japan","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Denmark","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Latvia","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Dominican Republic","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Morocco","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Kenya","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Ecuador","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Georgia","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Egypt","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"United Arab Emirates","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Greece","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Colombia","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Panama","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","179","1.30%","N/A","N/A","N/A","N/A"
"Switzerland","0.22%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13513","1.55%","N/A","N/A"
"Costa Rica","0.22%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13513","1.55%","N/A","N/A"
"Argentina","0.22%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13513","1.55%","N/A","N/A"
