"Date","Spotify Followers","Spotify Streams","Spotify Listeners","TikTok Followers","TikTok Likes","Youtube Subscribers","Youtube Views","Instagram Followers","Instagram Likes","Airplay Spins","Shazams","Facebook Followers","SoundCloud Followers","SoundCloud Plays","Deezer Followers"
"2023-03-27","2904","N/A","33520","N/A","N/A","N/A","N/A","426","N/A","N/A","N/A","N/A","289","N/A","N/A"
"2023-03-28","2905","N/A","33575","N/A","N/A","N/A","N/A","426","N/A","N/A","N/A","N/A","290","134","N/A"
"2023-03-29","2912","N/A","33603","N/A","N/A","N/A","N/A","426","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-03-30","2916","N/A","33670","N/A","N/A","N/A","N/A","426","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-03-31","2922","N/A","33686","N/A","N/A","10","N/A","425","N/A","N/A","N/A","N/A","290","106","N/A"
"2023-04-01","2922","N/A","33621","N/A","N/A","N/A","N/A","425","N/A","N/A","N/A","N/A","290","46","N/A"
"2023-04-02","2924","N/A","33600","N/A","N/A","N/A","N/A","425","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-04-03","2927","N/A","33561","N/A","N/A","N/A","N/A","425","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-04-04","2932","N/A","33740","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","290","126","N/A"
"2023-04-05","2935","N/A","33776","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","29","N/A"
"2023-04-06","2937","N/A","33617","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","N/A","N/A"
"2023-04-07","2938","N/A","33410","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","N/A","N/A"
"2023-04-08","2940","N/A","33287","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","129","N/A"
"2023-04-09","2941","N/A","33209","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","23","N/A"
"2023-04-10","2949","N/A","33162","N/A","N/A","N/A","N/A","428","N/A","N/A","N/A","N/A","289","N/A","N/A"
"2023-04-11","2951","N/A","33275","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","N/A","N/A"
"2023-04-12","2955","N/A","33410","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","97","N/A"
"2023-04-13","2961","N/A","33579","N/A","N/A","N/A","N/A","427","N/A","N/A","N/A","N/A","289","34","N/A"
"2023-04-14","2964","N/A","33756","N/A","N/A","N/A","N/A","428","N/A","N/A","N/A","N/A","289","N/A","N/A"
"2023-04-15","2966","N/A","34042","N/A","N/A","10","N/A","428","N/A","N/A","N/A","N/A","289","N/A","N/A"
"2023-04-16","2970","N/A","34271","N/A","N/A","10","N/A","428","N/A","N/A","N/A","N/A","290","136","N/A"
"2023-04-17","2973","N/A","34497","N/A","N/A","N/A","N/A","428","N/A","N/A","N/A","N/A","290","37","N/A"
"2023-04-18","2978","N/A","35221","N/A","N/A","N/A","N/A","428","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-04-19","2981","N/A","35857","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-04-20","2983","N/A","36123","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","290","134","N/A"
"2023-04-21","2987","N/A","36278","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","290","30","N/A"
"2023-04-22","2989","N/A","36710","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-04-23","2990","N/A","36985","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","290","N/A","N/A"
"2023-04-24","2992","N/A","37212","N/A","N/A","N/A","N/A","430","N/A","N/A","N/A","N/A","291","135","N/A"
"2023-04-25","2994","N/A","37573","N/A","N/A","N/A","N/A","430","N/A","N/A","N/A","N/A","291","14","N/A"
"2023-04-26","2995","N/A","37879","N/A","N/A","N/A","N/A","430","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-04-27","2997","N/A","38113","N/A","N/A","N/A","N/A","433","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-04-28","3001","N/A","38192","N/A","N/A","N/A","N/A","433","N/A","N/A","N/A","N/A","291","144","N/A"
"2023-04-29","3002","N/A","38192","N/A","N/A","N/A","N/A","433","N/A","N/A","N/A","N/A","291","16","N/A"
"2023-04-30","3007","N/A","38150","N/A","N/A","N/A","N/A","433","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-01","3011","N/A","38148","N/A","N/A","N/A","N/A","432","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-02","3019","N/A","38163","N/A","N/A","N/A","N/A","432","N/A","N/A","N/A","N/A","291","166","N/A"
"2023-05-03","3021","N/A","38177","N/A","N/A","10","N/A","431","N/A","N/A","N/A","N/A","291","23","N/A"
"2023-05-04","3026","N/A","38308","N/A","N/A","N/A","N/A","431","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-05","3029","N/A","38434","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-06","3031","N/A","38574","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","146","N/A"
"2023-05-07","3031","N/A","38717","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","15","N/A"
"2023-05-08","3034","N/A","38755","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-09","3033","N/A","38755","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-10","3037","N/A","38755","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","138","N/A"
"2023-05-11","3040","N/A","39166","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","13","N/A"
"2023-05-12","3048","N/A","39166","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-13","3052","N/A","38592","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-14","3057","N/A","38332","N/A","N/A","N/A","N/A","429","N/A","N/A","N/A","N/A","291","119","N/A"
"2023-05-15","3060","N/A","38037","N/A","N/A","10","N/A","431","N/A","N/A","N/A","N/A","291","29","N/A"
"2023-05-16","3062","N/A","37657","N/A","N/A","N/A","N/A","431","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-17","3068","N/A","37203","N/A","N/A","N/A","N/A","431","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-18","3070","N/A","36846","N/A","N/A","N/A","N/A","430","N/A","N/A","N/A","N/A","291","139","N/A"
"2023-05-19","3073","N/A","36559","N/A","N/A","N/A","N/A","430","N/A","N/A","N/A","N/A","291","16","N/A"
"2023-05-20","3079","N/A","36043","N/A","N/A","N/A","N/A","430","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-21","3085","N/A","35662","N/A","N/A","N/A","N/A","430","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-22","3089","N/A","35184","N/A","N/A","N/A","N/A","431","N/A","N/A","N/A","N/A","291","N/A","N/A"
"2023-05-23","3095","N/A","34850","N/A","N/A","10","N/A","431","N/A","N/A","N/A","N/A","292","206","N/A"
"2023-05-24","3098","N/A","34418","N/A","N/A","N/A","N/A","431","N/A","N/A","N/A","N/A","292","N/A","N/A"
"2023-05-25","3101","N/A","33972","N/A","N/A","N/A","N/A","431","N/A","N/A","N/A","N/A","292","N/A","N/A"
