"Date","Deezer Followers","Tiktok Followers","Spotify Followers","Youtube Subscribers","Facebook Followers","Instagram Followers","Soundcloud Followers"
"2024-10-28","0","0","53","30","0","0","0"
"2024-11-04","26","0","563","120","980","0","1"
"2024-11-11","9","0","408","60","426","0","0"
"2024-11-18","4","0","200","61","308","0","0"
"2024-11-25","1","0","201","85","206","0","1"
"2024-12-02","6","0","164","567","117","0","0"
"2024-12-09","8","0","196","1422","129","4781","0"
"2024-12-16","6","0","241","1181","287","684","0"
"2024-12-23","12","0","271","1074","264","0","2"
"2024-12-30","25","0","510","942","197","0","1"
"2025-01-06","18","0","541","673","371","0","3"
"2025-01-13","22","0","575","465","186","0","0"
"2025-01-20","13","0","384","455","371","0","1"
"2025-01-27","13","0","351","435","216","0","0"
"2025-02-03","9","0","286","400","181","0","0"
"2025-02-10","12","0","339","300","234","0","0"
"2025-02-17","11","0","284","262","78","0","0"
"2025-02-24","11","0","339","338","213","0","0"
"2025-03-03","8","0","324","248","194","0","2"
"2025-03-10","9","0","270","307","39","0","0"
"2025-03-17","9","0","256","204","110","0","0"
"2025-03-24","8","0","413","441","206","0","0"
"2025-03-31","11","0","375","350","147","0","0"
"2025-04-07","15","0","313","307","76","9415","0"
"2025-04-14","10","0","333","2743","92","1663","0"
"2025-04-21","5","0","266","350","135","347","0"
"2025-04-28","5","0","288","450","118","176","1"
"2025-05-05","6","0","279","400","164","106","0"
"2025-05-12","6","0","387","300","312","93","0"
"2025-05-19","5","0","843","500","302","149","0"
"2025-05-26","9","0","2532","1100","278","231","2"
"2025-06-02","87","0","2971","1000","119","196","1"
"2025-06-09","145","0","5332","2200","410","528","23"
"2025-06-16","184","0","11471","2800","534","619","21"
"2025-06-23","182","0","29686","8700","220166","163088","30"
"2025-06-30","194","0","40976","8600","221176","105209","34"
"2025-07-07","161","0","17352","4300","76628","106617","14"
"2025-07-14","118","41062","9400","4300","56825","40587","10"
"2025-07-21","211","41068","14542","5700","134381","59164","15"
"2025-07-28","264","6150","15073","6200","127812","66954","14"
"2025-08-04","390","43050","17806","6200","96102","61443","25"
"2025-08-11","215","7310","10942","4300","49889","41376","12"
"2025-08-18","153","15700","9626","3800","83182","45055","8"
"2025-08-25","135","15015","7970","3400","61370","29035","10"
"2025-09-01","187","21335","12038","4900","116729","45594","16"
"2025-09-08","127","8640","7729","3400","46167","31126","9"
"2025-09-15","86","5162","6785","2500","49486","24220","8"
"2025-09-22","92","3052","5517","2200","39805","26304","10"
"2025-09-29","152","3128","7045","2600","51169","34529","8"
"2025-10-06","469","11358","11256","3200","100648","37757","13"
"2025-10-13","478","5280","11259","9500","64037","37168","6"
"2025-10-20","274","2490","7546","4500","43225","31787","9"
